taxonID	habitat
23740603	marine
23740604	brackish
23740604	marine
23740605	brackish
23740605	marine
23740606	brackish
23740606	marine
23740607	marine
23740609	marine
23740610	marine
23740611	brackish
23740611	marine
23740612	marine
23740613	marine
23740614	marine
23740615	marine
23740616	brackish
23740616	marine
23740617	brackish
23740617	marine
23740618	brackish
23740618	marine
23740619	brackish
23740619	freshwater
23740619	marine
23740620	brackish
23740620	freshwater
23740620	marine
23740621	marine
23740622	brackish
23740622	marine
23740623	marine
23740624	brackish
23740624	marine
23740625	brackish
23740625	marine
23740626	marine
23740627	brackish
23740627	marine
23740628	brackish
23740628	freshwater
23740628	marine
23740629	brackish
23740629	marine
23740630	brackish
23740630	marine
23740631	brackish
23740631	marine
23740632	brackish
23740632	marine
23740633	brackish
23740633	marine
23740634	brackish
23740634	freshwater
23740634	marine
23740635	brackish
23740635	marine
23740636	marine
23740637	brackish
23740637	marine
23740638	brackish
23740638	marine
23740639	marine
23740640	marine
23740641	marine
23740642	marine
23740643	brackish
23740643	marine
23740644	brackish
23740644	freshwater
23740644	marine
23740645	brackish
23740645	freshwater
23740645	marine
23740646	brackish
23740646	freshwater
23740646	marine
23740647	brackish
23740647	freshwater
23740647	marine
23740648	marine
23740649	brackish
23740649	freshwater
23740650	brackish
23740650	freshwater
23740650	marine
23740651	brackish
23740651	freshwater
23740651	marine
23740652	brackish
23740652	freshwater
23740652	marine
23740653	brackish
23740653	freshwater
23740653	marine
23740654	brackish
23740654	freshwater
23740654	marine
23740655	brackish
23740655	freshwater
23740655	marine
23740656	brackish
23740656	freshwater
23740656	marine
23740657	brackish
23740657	freshwater
23740657	marine
23740659	brackish
23740659	freshwater
23740660	freshwater
23740661	marine
23740662	marine
23740663	brackish
23740663	freshwater
23740664	brackish
23740664	marine
23740665	brackish
23740665	freshwater
23740666	marine
23740667	marine
23740668	marine
23740669	brackish
23740669	freshwater
23740669	marine
23740670	brackish
23740670	marine
23740671	marine
23740672	marine
23740673	marine
23740674	marine
23740675	marine
23740676	marine
23740679	marine
23740680	freshwater
23740681	marine
23740682	brackish
23740682	freshwater
23740683	marine
23740684	brackish
23740684	freshwater
23740684	marine
23740685	brackish
23740685	freshwater
23740685	marine
23740686	freshwater
23740687	brackish
23740687	marine
23740688	marine
23740689	marine
23740690	brackish
23740690	marine
23740691	brackish
23740691	marine
23740692	brackish
23740692	marine
23740694	marine
23740695	marine
23740696	marine
23740698	brackish
23740698	freshwater
23740698	marine
23740699	brackish
23740699	marine
23740700	brackish
23740700	freshwater
23740701	brackish
23740701	marine
23740702	marine
23740703	brackish
23740703	marine
23740704	marine
23740705	marine
23740706	marine
23740707	marine
23740708	marine
23740709	marine
23740710	brackish
23740710	marine
23740711	marine
23740712	marine
23740713	marine
23740714	brackish
23740714	freshwater
23740715	brackish
23740715	marine
23740716	brackish
23740716	marine
23740717	brackish
23740717	marine
23740718	brackish
23740718	freshwater
23740718	marine
23740719	brackish
23740719	marine
23740720	marine
23740721	brackish
23740721	marine
23740722	brackish
23740722	freshwater
23740722	marine
23740723	marine
23740724	brackish
23740724	freshwater
23740724	marine
23740725	brackish
23740725	marine
23740726	brackish
23740726	freshwater
23740727	brackish
23740727	marine
23740728	brackish
23740728	marine
23740729	brackish
23740729	marine
23740730	brackish
23740730	marine
23740731	marine
23740733	marine
23740734	marine
23740735	marine
23740736	marine
23740737	marine
23740738	marine
23740739	marine
23740740	marine
23740741	marine
23740742	marine
23740743	marine
23740744	marine
23740745	marine
23740746	marine
23740748	brackish
23740748	marine
23740749	marine
23740750	marine
23740751	brackish
23740751	freshwater
23740751	marine
23740752	brackish
23740752	marine
23740753	marine
23740754	marine
23740755	brackish
23740755	freshwater
23740763	marine
23740764	marine
23740765	marine
23740766	marine
23740767	marine
23740768	marine
23740769	marine
23740770	marine
23740771	brackish
23740771	marine
23740772	brackish
23740772	marine
23740773	brackish
23740773	marine
23740774	marine
23740775	brackish
23740775	marine
23740776	marine
23740777	marine
23740778	marine
23740779	marine
23740780	marine
23740781	marine
23740782	marine
23740783	brackish
23740783	marine
23740784	marine
23740785	brackish
23740785	marine
